name,prior_mean,prior_stdev,prior_lower_bound,prior_upper_bound,post_mean,post_stdev,post_lower_bound,post_upper_bound
KR03C43,2.30103,0.5,1.30103,3.30103,2.4586,0.498661,1.46128,3.45592
KR03C44,2.30103,0.5,1.30103,3.30103,2.42778,0.498339,1.4311,3.42446
KR03C45,2.30103,0.5,1.30103,3.30103,2.45398,0.498243,1.45749,3.45047
KR03C46,2.30103,0.5,1.30103,3.30103,2.49504,0.498092,1.49886,3.49123
KR03C47,2.30103,0.5,1.30103,3.30103,2.50413,0.497622,1.50889,3.49937
KR03C48,2.30103,0.5,1.30103,3.30103,2.48495,0.49716,1.49063,3.47927
KR03C49,2.30103,0.5,1.30103,3.30103,2.52482,0.49552,1.53378,3.51586
KR03C50,2.30103,0.5,1.30103,3.30103,2.55402,0.493367,1.56728,3.54075
KR03C51,2.30103,0.5,1.30103,3.30103,2.59557,0.490696,1.61418,3.57696
KR03C52,2.30103,0.5,1.30103,3.30103,2.6969,0.488733,1.71944,3.67437
KR03C53,2.30103,0.5,1.30103,3.30103,2.69457,0.486984,1.7206,3.66854
KR03C54,2.30103,0.5,1.30103,3.30103,2.75182,0.489565,1.77269,3.73095
KR03C55,2.30103,0.5,1.30103,3.30103,2.72101,0.494225,1.73256,3.70946
KR03C56,2.30103,0.5,1.30103,3.30103,2.67298,0.490876,1.69123,3.65473
KR03C57,2.30103,0.5,1.30103,3.30103,2.72973,0.489219,1.75129,3.70817
KR03C58,2.30103,0.5,1.30103,3.30103,2.74154,0.488057,1.76542,3.71765
KR03C59,2.30103,0.5,1.30103,3.30103,2.6789,0.493057,1.69278,3.66501
KR03C60,2.30103,0.5,1.30103,3.30103,2.54828,0.49785,1.55258,3.54398
KR04C01,2.30103,0.5,1.30103,3.30103,2.30098,0.5,1.30098,3.30098
KR04C02,2.30103,0.5,1.30103,3.30103,2.30098,0.5,1.30098,3.30098
KR04C03,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR04C04,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR04C05,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR04C06,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR04C07,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR04C08,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR04C09,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR04C10,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR04C11,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR04C12,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR04C13,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR04C14,2.30103,0.5,1.30103,3.30103,2.31143,0.5,1.31143,3.31143
KR04C15,2.30103,0.5,1.30103,3.30103,2.31144,0.5,1.31144,3.31144
KR04C16,2.30103,0.5,1.30103,3.30103,2.31144,0.5,1.31144,3.31144
KR04C17,2.30103,0.5,1.30103,3.30103,2.3011,0.5,1.3011,3.3011
KR04C18,2.30103,0.5,1.30103,3.30103,2.29034,0.5,1.29034,3.29034
KR04C19,2.30103,0.5,1.30103,3.30103,2.2901,0.5,1.2901,3.2901
KR04C20,2.30103,0.5,1.30103,3.30103,2.29959,0.5,1.29959,3.29959
KR04C21,2.30103,0.5,1.30103,3.30103,2.30562,0.5,1.30562,3.30562
KR04C22,2.30103,0.5,1.30103,3.30103,2.29707,0.5,1.29707,3.29707
KR04C23,2.30103,0.5,1.30103,3.30103,2.29193,0.5,1.29193,3.29193
KR04C24,2.30103,0.5,1.30103,3.30103,2.30175,0.5,1.30175,3.30175
KR04C25,2.30103,0.5,1.30103,3.30103,2.27491,0.5,1.27491,3.27491
KR04C26,2.30103,0.5,1.30103,3.30103,2.29463,0.499999,1.29463,3.29463
KR04C27,2.30103,0.5,1.30103,3.30103,2.29848,0.499999,1.29848,3.29848
KR04C28,2.30103,0.5,1.30103,3.30103,2.27283,0.499998,1.27283,3.27282
KR04C29,2.30103,0.5,1.30103,3.30103,2.27732,0.499995,1.27733,3.27731
KR04C30,2.30103,0.5,1.30103,3.30103,2.28498,0.499991,1.28499,3.28496
KR04C31,2.30103,0.5,1.30103,3.30103,2.28128,0.499982,1.28132,3.28124
KR04C32,2.30103,0.5,1.30103,3.30103,2.28215,0.499965,1.28222,3.28208
KR04C33,2.30103,0.5,1.30103,3.30103,2.27131,0.499932,1.27144,3.27117
KR04C34,2.30103,0.5,1.30103,3.30103,2.27065,0.499873,1.2709,3.2704
KR04C35,2.30103,0.5,1.30103,3.30103,2.32032,0.499851,1.32062,3.32002
KR04C36,2.30103,0.5,1.30103,3.30103,2.35291,0.499459,1.35399,3.35183
KR04C37,2.30103,0.5,1.30103,3.30103,2.36525,0.49912,1.36701,3.36349
KR04C38,2.30103,0.5,1.30103,3.30103,2.39734,0.499069,1.3992,3.39548
KR04C39,2.30103,0.5,1.30103,3.30103,2.39449,0.499038,1.39642,3.39257
KR04C40,2.30103,0.5,1.30103,3.30103,2.4082,0.499234,1.40973,3.40667
KR04C41,2.30103,0.5,1.30103,3.30103,2.42094,0.49914,1.42266,3.41922
KR04C42,2.30103,0.5,1.30103,3.30103,2.44445,0.498947,1.44656,3.44234
KR04C43,2.30103,0.5,1.30103,3.30103,2.42947,0.498888,1.43169,3.42724
KR04C44,2.30103,0.5,1.30103,3.30103,2.44686,0.498841,1.44918,3.44455
KR04C45,2.30103,0.5,1.30103,3.30103,2.4383,0.498874,1.44055,3.43605
KR04C46,2.30103,0.5,1.30103,3.30103,2.48082,0.498759,1.48331,3.47834
KR04C47,2.30103,0.5,1.30103,3.30103,2.45981,0.498267,1.46327,3.45634
KR04C48,2.30103,0.5,1.30103,3.30103,2.45864,0.497775,1.46309,3.45419
KR04C49,2.30103,0.5,1.30103,3.30103,2.48641,0.496148,1.49411,3.4787
KR04C50,2.30103,0.5,1.30103,3.30103,2.4946,0.491793,1.51102,3.47819
KR04C51,2.30103,0.5,1.30103,3.30103,2.51437,0.489813,1.53474,3.494
KR04C52,2.30103,0.5,1.30103,3.30103,2.59347,0.492374,1.60872,3.57822
KR04C53,2.30103,0.5,1.30103,3.30103,2.5996,0.495824,1.60795,3.59125
KR04C54,2.30103,0.5,1.30103,3.30103,2.6071,0.49376,1.61958,3.59462
KR04C55,2.30103,0.5,1.30103,3.30103,2.7308,0.493772,1.74326,3.71834
KR04C56,2.30103,0.5,1.30103,3.30103,2.93419,0.466095,2.002,3.86638
KR04C57,2.30103,0.5,1.30103,3.30103,2.83231,0.471485,1.88934,3.77528
KR04C58,2.30103,0.5,1.30103,3.30103,2.67137,0.489368,1.69263,3.6501
KR04C59,2.30103,0.5,1.30103,3.30103,2.53741,0.496892,1.54362,3.53119
KR04C60,2.30103,0.5,1.30103,3.30103,2.61648,0.499271,1.61794,3.61502
KR05C01,2.30103,0.5,1.30103,3.30103,2.30098,0.5,1.30098,3.30098
KR05C02,2.30103,0.5,1.30103,3.30103,2.30098,0.5,1.30098,3.30098
KR05C03,2.30103,0.5,1.30103,3.30103,2.30098,0.5,1.30098,3.30098
KR05C04,2.30103,0.5,1.30103,3.30103,2.30098,0.5,1.30098,3.30098
KR05C05,2.30103,0.5,1.30103,3.30103,2.30098,0.5,1.30098,3.30098
KR05C06,2.30103,0.5,1.30103,3.30103,2.30098,0.5,1.30098,3.30098
KR05C07,2.30103,0.5,1.30103,3.30103,2.30103,0.5,1.30103,3.30103
KR05C08,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR05C09,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR05C10,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR05C11,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR05C12,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR05C13,2.30103,0.5,1.30103,3.30103,2.30109,0.5,1.30109,3.30109
KR05C14,2.30103,0.5,1.30103,3.30103,2.31143,0.5,1.31143,3.31143
KR05C15,2.30103,0.5,1.30103,3.30103,2.31143,0.5,1.31143,3.31143
KR05C16,2.30103,0.5,1.30103,3.30103,2.31143,0.5,1.31143,3.31143
KR05C17,2.30103,0.5,1.30103,3.30103,2.31143,0.5,1.31143,3.31143
KR05C18,2.30103,0.5,1.30103,3.30103,2.31143,0.5,1.31143,3.31143
KR05C19,2.30103,0.5,1.30103,3.30103,2.31144,0.5,1.31144,3.31144
KR05C20,2.30103,0.5,1.30103,3.30103,2.3011,0.5,1.3011,3.3011
KR05C21,2.30103,0.5,1.30103,3.30103,2.3011,0.5,1.3011,3.3011
